"日付け","終値","始値","高値","安値","出来高","前日比%"
"2017年09月12日","448,767","455,000","478,932","427,359","0.16K","-1.37%"
"2017年09月11日","455,000","425,296","469,489","423,337","0.11K","6.98%"
"2017年09月10日","425,296","443,040","466,151","423,676","0.10K","-4.00%"
"2017年09月09日","443,040","448,511","508,235","441,611","0.09K","-1.22%"
"2017年09月08日","448,511","505,435","510,906","441,379","0.31K","-11.26%"
"2017年09月07日","505,435","500,224","546,595","458,818","0.09K","1.04%"
"2017年09月06日","500,224","485,331","513,146","433,306","0.21K","3.07%"
"2017年09月05日","485,331","462,501","500,813","433,763","0.18K","4.94%"
"2017年09月04日","462,501","509,136","533,057","448,345","0.13K","-9.16%"
"2017年09月03日","509,136","499,205","585,203","490,638","0.08K","1.99%"
"2017年09月02日","499,205","542,277","585,203","498,505","0.09K","-7.94%"
"2017年09月01日","542,277","522,489","551,743","501,000","0.10K","3.79%"
"2017年08月31日","522,489","505,626","528,648","478,000","0.04K","3.34%"
"2017年08月30日","505,626","503,658","522,031","476,718","0.04K","0.39%"
"2017年08月29日","503,658","477,876","515,583","456,538","0.05K","5.40%"
"2017年08月28日","477,876","469,661","484,351","457,780","0.03K","1.75%"
"2017年08月27日","469,661","514,764","514,764","467,486","0.01K","-8.76%"
"2017年08月26日","514,764","478,010","519,142","464,485","0.03K","7.69%"
"2017年08月25日","478,010","468,366","518,438","452,864","0.07K","2.06%"
"2017年08月24日","468,366","453,553","471,958","444,567","0.04K","3.27%"
"2017年08月23日","453,553","446,019","488,850","414,226","0.04K","1.69%"
"2017年08月22日","446,019","446,634","464,207","412,566","0.17K","1.34%"
"2017年08月21日","440,101","456,978","459,732","439,993","0.10K","-3.69%"
"2017年08月20日","456,978","447,091","458,697","431,401","0.07K","2.21%"
"2017年08月19日","447,091","444,090","478,081","430,219","0.07K","-5.40%"
"2017年08月18日","472,613","470,166","528,676","442,379","0.01K","0.52%"
"2017年08月17日","470,166","474,494","531,332","436,766","0.08K","-0.91%"
"2017年08月16日","474,494","457,008","492,745","424,394","0.07K","3.83%"
"2017年08月15日","457,008","464,508","492,632","424,136","0.09K","-1.61%"
"2017年08月14日","464,508","424,424","493,492","418,000","0.07K","9.44%"
"2017年08月13日","424,424","409,442","460,769","404,136","0.05K","3.66%"
"2017年08月12日","409,442","407,736","430,205","372,097","0.06K","0.42%"
"2017年08月11日","407,736","373,256","407,736","366,727","0.08K","9.24%"
"2017年08月10日","373,256","378,630","403,650","360,402","0.03K","-1.42%"
"2017年08月09日","378,630","379,813","410,703","359,964","0.05K","-0.31%"
"2017年08月08日","379,813","406,790","410,703","326,756","0.07K","-6.63%"
"2017年08月07日","406,790","330,195","406,790","323,171","1.21K","23.20%"
"2017年08月06日","330,195","329,884","332,266","316,046","0.10K","0.09%"
"2017年08月05日","329,884","310,886","331,889","292,055","0.23K","6.11%"
"2017年08月04日","310,886","304,985","333,657","290,740","0.14K","1.93%"
"2017年08月03日","304,985","306,007","330,636","296,203","0.09K","-0.33%"
"2017年08月02日","306,007","314,656","332,053","295,993","0.04K","-2.75%"
"2017年08月01日","314,656","315,083","315,175","314,141","0.00K","-0.14%"
"2017年07月31日","315,083","298,744","316,191","278,208","0.00K","5.47%"
"2017年07月30日","298,744","294,359","306,885","270,677","0.09K","1.49%"
"2017年07月29日","294,359","306,935","310,884","270,677","0.04K","-4.10%"
"2017年07月28日","306,935","293,883","308,900","277,260","0.54K","4.44%"
"2017年07月27日","293,883","274,417","294,013","272,827","0.17K","7.09%"
"2017年07月26日","274,417","284,481","309,739","269,445","0.05K","-3.54%"
"2017年07月25日","284,481","303,279","309,434","271,189","0.08K","-6.20%"
"2017年07月24日","303,279","296,284","304,382","280,943","0.05K","2.36%"
"2017年07月23日","296,284","293,762","303,974","281,019","0.02K","0.86%"
"2017年07月22日","293,762","289,944","304,004","276,631","0.02K","1.32%"
"2017年07月21日","289,944","301,981","314,438","238,751","0.07K","-3.99%"
"2017年07月20日","301,981","256,132","314,501","233,806","0.17K","17.90%"
"2017年07月19日","256,132","242,358","266,082","234,103","0.04K","-2.66%"
"2017年07月18日","263,120","245,463","264,321","219,353","0.10K","7.19%"
"2017年07月17日","245,463","209,170","246,641","209,120","0.13K","17.35%"
"2017年07月16日","209,170","230,953","259,469","207,666","0.11K","-9.43%"
"2017年07月15日","230,953","255,488","281,375","230,953","0.14K","-9.60%"
"2017年07月14日","255,488","281,324","284,524","253,852","0.06K","-9.18%"
"2017年07月13日","281,324","281,462","284,458","263,499","0.07K","-0.05%"
"2017年07月12日","281,466","269,523","296,255","265,856","0.04K","4.43%"
"2017年07月11日","269,523","273,789","301,735","267,394","0.12K","-1.56%"
"2017年07月10日","273,789","291,868","302,599","273,735","0.08K","-6.19%"
"2017年07月09日","291,868","295,715","301,809","291,356","0.05K","-1.30%"
"2017年07月08日","295,715","293,044","304,722","291,273","0.02K","0.91%"
"2017年07月07日","293,044","296,418","308,677","291,436","0.04K","-1.14%"
"2017年07月06日","296,418","305,679","311,730","292,534","0.03K","0.81%"
"2017年07月05日","294,032","302,303","314,683","292,408","0.03K","-0.44%"
"2017年07月04日","295,330","296,100","313,696","283,749","0.06K","-0.26%"
"2017年07月03日","296,100","284,630","306,309","274,247","0.07K","4.03%"
"2017年07月02日","284,630","284,340","292,423","262,426","0.03K","0.10%"
"2017年07月01日","284,340","280,085","300,000","262,426","0.03K","1.28%"
"2017年06月30日","280,741","286,974","295,530","272,358","0.18K","-2.17%"
"2017年06月29日","286,974","291,532","297,657","278,583","0.10K","-1.56%"
"2017年06月28日","291,532","286,869","315,922","266,903","0.06K","1.63%"
"2017年06月27日","286,869","281,862","315,131","266,703","0.12K","1.78%"
"2017年06月26日","281,862","286,639","329,408","278,499","0.10K","-1.67%"
"2017年06月25日","286,639","292,514","318,045","285,185","0.02K","-2.01%"
"2017年06月24日","292,514","311,033","314,970","292,514","0.04K","-5.95%"
"2017年06月23日","311,033","303,229","338,280","301,078","0.08K","1.37%"
"2017年06月22日","306,815","295,047","314,187","294,183","0.11K","3.99%"
"2017年06月21日","295,047","303,346","314,442","295,047","0.12K","-2.74%"
"2017年06月20日","303,346","299,208","312,964","285,688","0.07K","1.38%"
"2017年06月19日","299,208","274,511","300,747","274,511","0.05K","9.00%"
"2017年06月18日","274,511","291,365","321,302","274,156","0.03K","-5.78%"
"2017年06月17日","291,365","279,492","321,302","260,555","0.06K","4.25%"
"2017年06月16日","279,492","273,002","310,151","242,276","0.07K","-1.72%"
"2017年06月15日","284,375","308,614","336,948","241,493","0.02K","-7.85%"
"2017年06月14日","308,614","320,694","335,307","284,249","0.11K","-3.77%"
"2017年06月13日","320,694","309,888","361,345","297,214","0.06K","3.49%"
"2017年06月12日","309,888","332,419","361,345","296,128","0.09K","-6.78%"
"2017年06月11日","332,419","324,000","339,535","315,294","0.03K","2.60%"
"2017年06月10日","324,000","321,900","350,177","315,331","0.03K","0.65%"
"2017年06月09日","321,900","317,275","348,936","304,494","0.04K","1.46%"
"2017年06月08日","317,275","320,347","350,599","298,080","0.06K","-0.96%"
"2017年06月07日","320,347","320,283","350,599","298,729","0.08K","0.02%"
"2017年06月06日","320,283","304,546","337,159","288,042","0.12K","5.17%"
"2017年06月05日","304,546","296,356","319,043","275,573","0.05K","2.76%"
"2017年06月04日","296,356","282,821","298,950","267,351","0.07K","4.79%"
"2017年06月03日","282,821","278,197","298,951","278,187","0.06K","1.66%"
"2017年06月02日","278,197","271,102","307,974","260,000","0.07K","2.62%"
"2017年06月01日","271,102","262,456","312,183","249,172","0.12K","3.29%"
"2017年05月31日","262,456","267,155","284,040","248,301","0.09K","-1.76%"
"2017年05月30日","267,155","264,010","291,657","240,168","0.04K","1.19%"
"2017年05月29日","264,010","249,256","297,161","238,300","0.07K","5.92%"
"2017年05月28日","249,256","252,700","278,525","217,596","0.05K","-1.36%"
"2017年05月27日","252,700","260,017","322,539","217,623","0.11K","-2.81%"
"2017年05月26日","260,017","269,662","382,414","255,146","0.15K","-3.58%"
"2017年05月25日","269,662","286,397","382,689","254,061","0.22K","-5.84%"
"2017年05月24日","286,397","254,475","292,120","242,576","0.20K","12.54%"
"2017年05月23日","254,475","249,444","281,490","225,120","0.10K","2.02%"
"2017年05月22日","249,444","226,666","258,492","224,779","0.13K","10.05%"
"2017年05月21日","226,666","231,959","249,390","223,865","0.07K","-2.28%"
"2017年05月20日","231,959","224,118","232,332","216,889","0.09K","3.50%"
"2017年05月19日","224,118","221,809","232,341","209,003","0.07K","1.04%"
"2017年05月18日","221,809","220,621","222,545","198,533","0.08K","0.54%"
"2017年05月17日","220,621","203,828","238,779","186,207","0.11K","8.24%"
